발생년,발생년월일,발생시간,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2019,2019-01-01,0,야,화,1,0,0,0,0,부산,해운대구,차대사람,기타,기타,중앙선 침범,교차로,교차로내,승용차,보행자,1150507.0,1685987.0,129.1524645,35.15788411
2019,2019-01-01,3,야,화,1,0,0,0,0,경기,안산시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,943018.0,1921233.0,126.857149,37.28829231
2019,2019-01-01,16,주,화,1,0,0,0,0,경북,청도군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,사륜오토바이(ATV),1100414.0,1739893.0,128.6092297,35.65010817
2019,2019-01-01,19,야,화,1,0,0,0,0,대전,서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,989194.0,1817621.0,127.3795598,36.35594639
2019,2019-01-01,21,야,화,1,0,0,0,0,경북,영천시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1127700.0,1767912.0,128.9150412,35.89950573
2019,2019-01-02,3,야,수,1,1,1,0,0,충북,충주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,특수차,화물차,1029070.0,1892384.0,127.8268431,37.02953764
2019,2019-01-02,6,주,수,1,0,0,0,0,인천,계양구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,기타,929876.8,1947636.2,126.7064001,37.52536494
2019,2019-01-02,10,주,수,1,0,0,0,0,서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,955430.0,1952240.0,126.9952985,37.56844929
2019,2019-01-02,10,주,수,1,0,0,0,0,경기,광주시,차대차,측면충돌,측면충돌,중앙선 침범,교차로,교차로부근,자전거,승용차,978481.0,1935323.0,127.2568148,37.41679362
2019,2019-01-02,15,주,수,1,0,0,0,0,충남,서천군,차량단독,전도,전도,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,921337.0,1795200.0,126.6255482,36.15067652
2019,2019-01-02,16,주,수,1,0,0,0,0,전북,전주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,967706.0,1756943.0,127.1425492,35.80841378
2019,2019-01-02,18,야,수,1,0,0,0,0,전북,정읍시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,자전거,944254.0,1744685.0,126.8838305,35.69684616
2019,2019-01-02,18,야,수,1,0,0,0,0,경남,김해시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,1118877.0,1703127.0,128.8077579,35.31663552
2019,2019-01-02,19,야,수,1,0,0,0,0,경기,평택시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961473.0,1888668.0,127.0670214,36.99570056
2019,2019-01-02,23,야,수,1,0,0,0,0,경남,거제시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,1102011.0,1655579.0,128.6163896,34.8898279
2019,2019-01-03,3,야,목,1,0,0,0,0,전남,영암군,차량단독,공작물충돌,공작물충돌,중앙선 침범,단일로,기타단일로,승용차,없음,898187.0,1639048.0,126.3877819,34.74080413
2019,2019-01-03,7,주,목,1,0,0,0,0,울산,울주군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1155134.0,1740560.0,129.2136267,35.64903729
2019,2019-01-03,12,주,목,1,1,0,1,0,서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,962122.0,1962574.0,127.0705398,37.66189171
2019,2019-01-03,17,주,목,1,0,0,0,0,서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,954851.0,1951572.0,126.9887834,37.56240025
2019,2019-01-03,20,야,목,1,0,0,0,0,충남,공주시,차대차,정면충돌,정면충돌,신호위반,단일로,기타단일로,이륜차,화물차,966471.0,1834506.0,127.1255695,36.50764269
2019,2019-01-04,5,야,금,1,0,0,0,0,경기,안산시,차대차,기타,기타,신호위반,교차로,교차로횡단보도내,자전거,승용차,937483.0,1926422.0,126.7942722,37.33470658
2019,2019-01-04,7,주,금,1,0,0,0,0,대구,달서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1090596.0,1762173.0,128.5033081,35.85191091
2019,2019-01-04,8,주,금,1,0,0,0,0,경북,칠곡군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,건설기계,승용차,1088316.0,1781427.0,128.4802025,36.02568842
2019,2019-01-04,10,주,금,1,0,0,0,0,경기,평택시,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,화물차,승용차,951345.0,1893594.0,126.9528858,37.03963375
2019,2019-01-04,15,주,금,1,0,0,0,0,경기,여주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,보행자,1012158.0,1921969.0,127.6371781,37.29659281
2019,2019-01-05,1,야,토,1,0,0,0,0,경기,안성시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,975158.0,1890274.0,127.2207627,37.0106389
2019,2019-01-05,1,야,토,1,0,0,0,0,전북,전주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,없음,965734.0,1759766.0,127.1206012,35.83379911
2019,2019-01-05,2,야,토,1,0,0,0,0,강원,평창군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1073052.2,1955971.8,128.3275756,37.60026323
2019,2019-01-05,4,야,토,1,0,0,0,0,부산,사하구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1134753.0,1675887.0,128.9779054,35.06907567
2019,2019-01-05,8,주,토,1,1,0,1,0,대구,동구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,기타,기타,화물차,화물차,1103506.0,1772775.0,128.6476351,35.94620162
2019,2019-01-05,17,주,토,1,1,0,1,0,전남,순천시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1004320.0,1657059.0,127.5472889,34.90829133
2019,2019-01-06,4,야,일,1,0,0,0,0,전북,완주군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,960550.0,1755323.0,127.0634238,35.79354629
2019,2019-01-06,5,야,일,1,1,1,0,0,인천,남동구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,931877.0,1939094.0,126.7298258,37.44852515
